filename,rows,columns,numeric_features,size_bytes,identifier,columns_pipe,sha256,analytical_role,source_repository,source_commit,source_tag,download_url
primary_practice_access_clustering_matrix.csv,6067,15,14,1661023,practice_code_standardised,practice_code_standardised|ocs_submissions_per_1000_patient_months|ocs_clinical_share|ocs_administrative_share|gpad_appointments_per_1000_patient_months|gpad_dna_share|gpad_face_to_face_share|gpad_telephone_share|gpad_same_day_share|gpad_1_day_share|gpad_2_to_7_days_share|gpad_8_to_14_days_share|gpad_over_14_days_share|ocs_mean_absolute_monthly_rate_change|gpad_mean_absolute_monthly_rate_change,C50B14AA191C54C29201DC9909E138395C1A2AEA7F596E8CF6B02F43A6DD7EBF,national_primary,PeterHDS/pcadi-data-integration,1239c63356acfb824277ee6fbaee25fa8df51313,reference-apr2025-mar2026,https://raw.githubusercontent.com/PeterHDS/pcadi-data-integration/1239c63356acfb824277ee6fbaee25fa8df51313/outputs/primary_practice_access_clustering_matrix.csv
cbt_inbound_sensitivity_clustering_matrix_17_features.csv,3020,18,17,993148,practice_code_standardised,practice_code_standardised|ocs_submissions_per_1000_patient_months|ocs_clinical_share|ocs_administrative_share|gpad_appointments_per_1000_patient_months|gpad_dna_share|gpad_face_to_face_share|gpad_telephone_share|gpad_same_day_share|gpad_1_day_share|gpad_2_to_7_days_share|gpad_8_to_14_days_share|gpad_over_14_days_share|ocs_mean_absolute_monthly_rate_change|gpad_mean_absolute_monthly_rate_change|cbt_inbound_calls_per_1000_patient_months|cbt_mean_absolute_monthly_call_rate_change|cbt_call_rate_range,CCC179B870BBD3EC46DD1B75868DB38156FE23A44BBC5A8FF698505FC9B63ED5,telephone_inbound_sensitivity,PeterHDS/pcadi-data-integration,1239c63356acfb824277ee6fbaee25fa8df51313,reference-apr2025-mar2026,https://raw.githubusercontent.com/PeterHDS/pcadi-data-integration/1239c63356acfb824277ee6fbaee25fa8df51313/outputs/cbt_inbound_sensitivity_clustering_matrix_17_features.csv
cbt_outcomes_sensitivity_clustering_matrix_21_features.csv,1456,22,21,595324,practice_code_standardised,practice_code_standardised|ocs_submissions_per_1000_patient_months|ocs_clinical_share|ocs_administrative_share|gpad_appointments_per_1000_patient_months|gpad_dna_share|gpad_face_to_face_share|gpad_telephone_share|gpad_same_day_share|gpad_1_day_share|gpad_2_to_7_days_share|gpad_8_to_14_days_share|gpad_over_14_days_share|ocs_mean_absolute_monthly_rate_change|gpad_mean_absolute_monthly_rate_change|cbt_inbound_calls_per_1000_patient_months|cbt_mean_absolute_monthly_call_rate_change|cbt_call_rate_range|cbt_answered_share_cbt003|cbt_missed_share|cbt_ivr_share|cbt_callback_request_share,D3D2E70C1A718260DD332B59F835EB6316826677A1DF5CEB928ED563C0FC1021,telephone_outcome_source_representation,PeterHDS/pcadi-data-integration,1239c63356acfb824277ee6fbaee25fa8df51313,reference-apr2025-mar2026,https://raw.githubusercontent.com/PeterHDS/pcadi-data-integration/1239c63356acfb824277ee6fbaee25fa8df51313/outputs/cbt_outcomes_sensitivity_clustering_matrix_21_features.csv
