"analysis_name","group_a","group_b","group_a_total_n","group_b_total_n","group_a_valid_n","group_a_missing_n","group_a_missing_pct","group_b_valid_n","group_b_missing_n","group_b_missing_pct","group_a_mean","group_a_sd","group_a_median","group_a_q1","group_a_q3","group_a_iqr","group_a_minimum","group_a_maximum","group_b_mean","group_b_sd","group_b_median","group_b_q1","group_b_q3","group_b_iqr","group_b_minimum","group_b_maximum","group_a_minus_group_b_mean_difference","group_a_minus_group_b_median_difference","pooled_unweighted_sd","standardized_mean_difference","absolute_standardized_mean_difference","effect_band","independent_smd_recalculation","reproduction_pass","row_order_invariance_pass"
"registered_patients_march_2026","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",6067,63,6067,0,0,63,0,0,10402.8188561068,7120.54407461605,8871,5964.5,12757.5,6793,208,114460,7018.07936507936,6596.53634750254,5129,2280,10260.5,7980.5,5,31330,3384.73949102744,3742,6863.54280610502,0.493147575041969,0.493147575041969,"Moderate",0.493147575041969,TRUE,TRUE
"patient_weighted_imd2025_score","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",6067,63,6035,32,0.527443547057854,62,1,1.58730158730159,23.4819050469012,11.5600063520146,21.3134803584,14.2349057404,30.7796973358,16.5447915954,3.8584134373,65.223072345,26.0977250403339,12.0851184641848,23.70568534,16.12680635785,33.415426662475,17.288620304625,7.4593676836,58.4252363705,-2.61581999343269,-2.3922049816,11.8254774777173,-0.221202061258132,0.221202061258132,"Moderate",-0.221202061258132,TRUE,TRUE
"registered_patients_rural_pct","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",6067,63,6051,16,0.263721773528927,62,1,1.58730158730159,17.455922850353,32.1417951928226,0.8605577689,0.095374366,13.24910742915,13.15373306315,0,100,15.7613606454323,31.2813195936101,0.37451168975,0.09917547745,8.52973234985,8.4305568724,0,99.6109670248,1.69456220492071,0.48604607915,31.7144758252043,0.0534318213001647,0.0534318213001647,"No clear",0.0534318213001647,TRUE,TRUE
