"analysis_name","category","group_a","group_b","group_a_n","group_b_n","category_total_n","group_a_pct","group_b_pct","group_a_minus_group_b_percentage_points","within_category_group_a_rate_pct","expected_group_a_n_under_independence","expected_group_b_n_under_independence","observed_minus_expected_group_a_n","observed_to_expected_group_a_ratio","chi_square_statistic","degrees_of_freedom","cramers_v","concentration_band","minimum_expected_cell_count","expected_cells_below_5_n","expected_cells_below_1_n","sparse_cell_warning","reproduction_pass","row_order_invariance_pass"
"supplier","EMIS","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",3551,39,3590,58.5297511125762,61.9047619047619,-3.37501079218567,98.9136490250696,3553.1044045677,36.8955954323002,-2.10440456769993,0.999407727911121,0.319045858030112,2,0.00721433521756091,"No clear",0.0308319738988581,2,1,TRUE,TRUE,TRUE
"supplier","TPP","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",2513,24,2537,41.4208010548871,38.0952380952381,3.325562959649,99.0540007883327,2510.9264274062,26.073572593801,2.07357259380115,1.00082581973377,0.319045858030112,2,0.00721433521756091,"No clear",0.0308319738988581,2,1,TRUE,TRUE,TRUE
"supplier","Unknown","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",3,0,3,0.0494478325366738,0,0.0494478325366738,100,2.96916802610114,0.0308319738988581,0.0308319738988581,1.0103840448327,0.319045858030112,2,0.00721433521756091,"No clear",0.0308319738988581,2,1,TRUE,TRUE,TRUE
"commissioning_region","East of England","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",624,3,627,10.2851491676282,4.76190476190476,5.52324440572339,99.5215311004785,620.556117455139,6.44388254486134,3.44388254486137,1.00554967141245,26.0930119796302,6,0.0652426915892687,"Mild",5.28254486133768,0,0,FALSE,TRUE,TRUE
"commissioning_region","London","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",1113,10,1123,18.345145871106,15.8730158730159,2.47212999809011,99.1095280498664,1111.45856443719,11.5414355628059,1.54143556280587,1.00138685832484,26.0930119796302,6,0.0652426915892687,"Mild",5.28254486133768,0,0,FALSE,TRUE,TRUE
"commissioning_region","Midlands","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",1233,4,1237,20.3230591725729,6.34920634920635,13.9738528233666,99.6766370250606,1224.28694942904,12.7130505709625,8.71305057096242,1.00711683692702,26.0930119796302,6,0.0652426915892687,"Mild",5.28254486133768,0,0,FALSE,TRUE,TRUE
"commissioning_region","North East and Yorkshire","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",914,8,922,15.06510631284,12.6984126984127,2.36669361442726,99.1323210412148,912.524306688418,9.47569331158238,1.4756933115824,1.00161715507276,26.0930119796302,6,0.0652426915892687,"Mild",5.28254486133768,0,0,FALSE,TRUE,TRUE
"commissioning_region","North West","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",918,15,933,15.1310367562222,23.8095238095238,-8.67848705330162,98.3922829581994,923.411256117455,9.58874388254486,-5.41125611745508,0.994139928356292,26.0930119796302,6,0.0652426915892687,"Mild",5.28254486133768,0,0,FALSE,TRUE,TRUE
"commissioning_region","South East","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",765,9,774,12.6091972968518,14.2857142857143,-1.67651698886247,98.8372093023256,766.045350734095,7.95464926590538,-1.04535073409465,0.9986353931486,26.0930119796302,6,0.0652426915892687,"Mild",5.28254486133768,0,0,FALSE,TRUE,TRUE
"commissioning_region","South West","NATIONAL_ANALYTICAL_COHORT","NATIONAL_EXCLUDED",500,14,514,8.24130542277897,22.2222222222222,-13.9809167994433,97.2762645914397,508.717455138662,5.28254486133768,-8.71745513866233,0.982863856841149,26.0930119796302,6,0.0652426915892687,"Mild",5.28254486133768,0,0,FALSE,TRUE,TRUE
