period_type,period_name,period_order,practices,silhouette_score,calinski_harabasz_score,davies_bouldin_score,negative_silhouette_count,negative_silhouette_share,minimum_cluster_size,maximum_cluster_size,agreement_with_annual_count,agreement_with_annual_share,ari_vs_annual,nmi_vs_annual,agreement_with_canonical_count,agreement_with_canonical_share,ari_vs_canonical,nmi_vs_canonical,inertia,iterations
half_year,H1_Apr_Sep_2025,1,5924,0.11561294258301424,788.3946280603614,2.2617677596586403,509,0.08592167454422688,1595,2279,5072,0.8561782579338285,0.6135139470541935,0.5352466654466597,5253,0.886731937879811,0.6869119626123489,0.6500913866673869,38136.50818266094,19
half_year,H2_Oct_2025_Mar_2026,2,5924,0.12236801892258109,842.8931951070633,2.2227791282215925,607,0.1024645509790682,1681,2321,5426,0.9159351789331532,0.7631413310357413,0.6846640615214092,5702,0.962525320729237,0.888561773837443,0.8448343056755083,36763.004775276335,23
quarter,Q1_Apr_Jun_2025,1,5677,0.10988377174283918,710.3153451067071,2.302785211329017,558,0.09829135106570372,1540,2223,4651,0.8192707415888674,0.530844753887292,0.45404143104987404,4196,0.7391227761141448,0.3681260199891821,0.4195897421999683,37649.85607843877,27
quarter,Q2_Jul_Sep_2025,2,5677,0.11540779418269566,758.3928962662535,2.274349308035434,587,0.1033996829311256,1571,2205,4862,0.8564382596441783,0.6155047375946578,0.5348028664843512,5249,0.9246080676413598,0.7907028178783984,0.7215860675194534,36233.45719879331,24
quarter,Q3_Oct_Dec_2025,3,5677,0.1164702060877143,770.4586201756267,2.2133277478996343,665,0.11713933415536375,1735,2158,5022,0.8846221595913335,0.6833425024517293,0.6100869103245443,5149,0.9069931301743879,0.7399361150546001,0.6968814586716291,36346.071078117006,22
quarter,Q4_Jan_Mar_2026,4,5677,0.11876547818476622,775.4905708811742,2.3022051131087724,754,0.13281662850096881,1568,2238,4881,0.8597850977629029,0.6252791218735477,0.542954546946837,4950,0.8719394046151137,0.6564623766806623,0.6493810239656655,36539.52211058977,12
