period_type,period_name,practices,annual_agreement_count,annual_agreement_share,annual_changed_count,annual_changed_share,adjusted_rand_index_vs_annual,normalised_mutual_information_vs_annual,silhouette_score,calinski_harabasz_score,davies_bouldin_score,negative_silhouette_count,negative_silhouette_share,minimum_cluster_size,maximum_cluster_size,median_nearest_centroid_distance,median_centroid_distance_margin
half_year,H1_Apr_Sep_2025,5924,5166,0.8720459149223497,758,0.12795408507765024,0.6526645236180878,0.5866904692446403,0.10905938089703365,743.0017928228714,2.3678658817361327,830,0.1401080351114112,1645,2397,2.4489299769277797,0.54953552831922
half_year,H2_Oct_2025_Mar_2026,5924,5458,0.9213369345037137,466,0.0786630654962863,0.7784527583712921,0.7019923592671039,0.12016265127243826,866.7744143322628,2.1989289763908615,577,0.0974004051316678,1775,2175,2.3091073572367855,0.6026892193938853
quarter,Q1_Apr_Jun_2025,5677,4163,0.7333098467500441,1514,0.266690153249956,0.35779471004106234,0.3844465644822643,0.0800754548564174,557.7808388367926,2.5662329207325323,1340,0.2360401620574247,1033,2616,3.2287630456512204,0.44224148511786243
quarter,Q2_Jul_Sep_2025,5677,4935,0.8692971639950678,742,0.13070283600493218,0.6469241632529632,0.5674843421772312,0.11212866333656714,724.8679812294374,2.3460094975770427,654,0.11520169103399683,1435,2279,2.541309435497371,0.5542679829680557
quarter,Q3_Oct_Dec_2025,5677,5073,0.8936057776994891,604,0.10639422230051084,0.7089474021029931,0.6348833276355235,0.11355174499798058,766.9258248112454,2.248564748112842,433,0.07627267923198873,1406,2376,2.5380814040505406,0.566057349409121
quarter,Q4_Jan_Mar_2026,5677,4734,0.8338911396864541,943,0.16610886031354588,0.5632487063938076,0.5244473134968012,0.1034752306111761,782.406035497842,2.3298594753916664,1024,0.1803769596617932,1733,2167,2.593251619921571,0.5652746976819572
