candidate_key,candidate,feature_specification,method,analytical_role,practices,clusters_or_components,exact_silhouette,negative_silhouette_share,reference_ari_mean,reference_ari_minimum,pairwise_ari_mean,pairwise_ari_minimum,mean_maximum_posterior,smallest_cluster_share,ari_vs_primary_kmeans14,nmi_vs_primary_kmeans14,aligned_agreement_vs_primary_kmeans14,raw_to_primary_kmeans14_mapping
km14,14 | K-Means k=3,14 features (primary),K-Means,Primary hard-partition benchmark,6067,3,0.1184314274628989,0.0972474039887918,0.9499333639335764,0.884103772231118,0.925403982734052,0.8045424820289423,,0.2889401681226306,1.0,1.0,1.0,"{np.int64(1): np.int64(1), np.int64(2): np.int64(2), np.int64(3): np.int64(3)}"
ward14,14 | Ward k=3,14 features (primary),Ward,Hierarchical diagnostic benchmark,6067,3,0.097830268745589,0.2276248557771551,0.3644401852596231,0.0842651782697668,0.2681599197021856,0.0206227943633125,,0.08158892368551178,0.15729593582326243,0.207621987087169,0.552497115543102,"{np.int64(1): np.int64(2), np.int64(2): np.int64(3), np.int64(3): np.int64(1)}"
gmm14s,14 | GMM spherical k=3,14 features (primary),GMM spherical,Primary probabilistic sensitivity model,6067,3,0.0641715257686908,0.3662436129882973,0.953224244500742,0.864135739478451,0.9339494274386688,0.8053810696335248,0.9000927357174763,0.22828416021097742,0.42249230606144433,0.4336166167021046,0.7674303609691775,"{np.int64(1): np.int64(1), np.int64(2): np.int64(3), np.int64(3): np.int64(2)}"
km12,12 | K-Means k=3,12 features (comparator),K-Means,Construct-validity hard-partition comparator,6067,3,0.1367823194802638,0.0988956650733476,0.943847104797538,0.8980691150473508,0.922621550246646,0.8016336613791609,,0.27938025383220705,0.7609004448721125,0.6957518264466065,0.9164331630130212,"{np.int64(1): np.int64(1), np.int64(2): np.int64(2), np.int64(3): np.int64(3)}"
ward12,12 | Ward k=3,12 features (comparator),Ward,Construct-validity hierarchical diagnostic,6067,3,0.0809708576594467,0.2774023405307401,,,,,,0.20075820009889567,0.2757479513146353,0.28209803517247206,0.6733146530410417,"{np.int64(1): np.int64(2), np.int64(2): np.int64(1), np.int64(3): np.int64(3)}"
gmm12s,12 | GMM spherical k=3,12 features (comparator),GMM spherical,Construct-validity probabilistic comparator,6067,3,0.1119402731099557,0.2200428547881984,0.9656393719335358,0.9469549922347386,0.9537364897779026,0.9069489710930396,0.8966986487587654,0.25894181638371516,0.5587105338026235,0.5118738161740085,0.8331959782429537,"{np.int64(1): np.int64(2), np.int64(2): np.int64(1), np.int64(3): np.int64(3)}"
gmm12d,12 | GMM diagonal k=3,12 features (comparator),GMM diagonal,Construct-validity probabilistic comparator,6067,3,0.1057962938049586,0.2507005109609362,0.9728095603378398,0.9580286633935572,0.9616851587700233,0.9263395067675024,0.9201915617261032,0.24427229273116863,0.498858704989713,0.4536478027512874,0.8025383220702159,"{np.int64(1): np.int64(3), np.int64(2): np.int64(2), np.int64(3): np.int64(1)}"
