primary_cluster,practice_count,mean_kmeans_silhouette,median_kmeans_silhouette,negative_kmeans_silhouette_share,mean_gmm_maximum_posterior,median_gmm_maximum_posterior,low_gmm_posterior_share,mean_gmm_reference_retention,low_gmm_reference_retention_share,kmeans_gmm_aligned_disagreement_share,interpretive_caution_share,provenance_flag_share,practice_share,descriptive_profile_label
1,1753,0.05215898026379625,0.044971392623978,0.3200228180262407,0.912816747525004,0.9949611145589892,0.06560182544209926,0.984515058249074,0.032515687393040504,0.13462635482030805,0.36109526525955504,0.06160867084997148,0.2889401681226306,"Lower-volume, intermediate-delay, higher-DNA profile"
2,2312,0.1352776111741236,0.12913290284162704,0.009515570934256055,0.9120411611144014,0.9680826612476159,0.0393598615916955,0.9852531392011593,0.029411764705882353,0.23572664359861592,0.2642733564013841,0.05493079584775087,0.3810779627492995,"Face-to-face, longer-delay, lower-OCS-activity profile"
3,2002,0.15700646402617355,0.1546093095313117,0.0034965034965034965,0.875152699645405,0.9696239252826736,0.1063936063936064,0.97922644006407,0.04295704295704296,0.3146853146853147,0.36163836163836166,0.04395604395604396,0.32998186912806987,"Higher-activity, same-day, higher-variation profile"
