comparison,metric,runs_or_pairs,minimum,q025,q25,median,mean,q75,q975,maximum,standard_deviation
H1_Apr_Sep_2025_to_H2_Oct_2025_Mar_2026,h1_h2_agreement_share,100,0.7716817894070479,0.7744091580502216,0.7860308081873814,0.7880354505169866,0.7878645283815152,0.790884152774847,0.7958482802278962,0.8005908419497785,0.004958608994889924
H1_Apr_Sep_2025_to_H2_Oct_2025_Mar_2026,h1_h2_ari,100,0.43263959969198407,0.43712393184009596,0.4597604691957636,0.46377138766228876,0.4637737806374113,0.4697779389097698,0.48086249709867884,0.4913947406666061,0.009978516309514731
H1_Apr_Sep_2025_to_H2_Oct_2025_Mar_2026,h1_h2_nmi,100,0.3675223049266388,0.37269787979219837,0.39181944629003307,0.3951106368681718,0.39504126406485673,0.4000979738490298,0.40808045265006004,0.41728321514233996,0.008642029467282642
H1_Apr_Sep_2025_to_H2_Oct_2025_Mar_2026,h1_h2_changed_share,100,0.19940915805022155,0.20415171977210383,0.20911584722515297,0.2119645494830133,0.21213547161848495,0.2139691918126187,0.22559084194977838,0.2283182105929521,0.0049586089948899185
