cluster,practice_count,practice_share,mean_silhouette,median_silhouette,minimum_silhouette,negative_silhouette_count,negative_silhouette_share
1,1753,0.2889401681226306,0.05215898026379626,0.04497139262397806,-0.09362349668555453,561,0.3200228180262407
2,2312,0.3810779627492995,0.13527761117412365,0.12913290284162715,-0.010455017933039993,22,0.009515570934256055
3,2002,0.32998186912806987,0.15700646402617358,0.15460930953131174,-0.004016222312966319,7,0.0034965034965034965
