"analysis_name","group_a","group_b","group_a_total_n","group_b_total_n","group_a_valid_n","group_a_missing_n","group_a_missing_pct","group_b_valid_n","group_b_missing_n","group_b_missing_pct","group_a_mean","group_a_sd","group_a_median","group_a_q1","group_a_q3","group_a_iqr","group_a_minimum","group_a_maximum","group_b_mean","group_b_sd","group_b_median","group_b_q1","group_b_q3","group_b_iqr","group_b_minimum","group_b_maximum","group_a_minus_group_b_mean_difference","group_a_minus_group_b_median_difference","pooled_unweighted_sd","standardized_mean_difference","absolute_standardized_mean_difference","effect_band","independent_smd_recalculation","reproduction_pass","row_order_invariance_pass"
"registered_patients_march_2026","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",1456,1564,1456,0,0,1564,0,0,11868.2451923077,7259.85109734676,10348,7228.5,14459.5,7231,733,75339,9276.49616368286,6170.32189639792,8084,5478.5,11556.5,6078,499,114460,2591.74902862483,2264,6737.14740304881,0.384695312952774,0.384695312952774,"Moderate",0.384695312952774,TRUE,TRUE
"patient_weighted_imd2025_score","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",1456,1564,1455,1,0.0686813186813187,1556,8,0.51150895140665,20.411214284172,9.54245772756177,19.1283623831,12.5385030708,26.4946999706,13.9561968998,4.0253720415,57.2465433238,23.6212356356233,11.6527212835269,21.68059241755,13.994391558575,31.49829878325,17.503907224675,3.9791971864,63.5008178699,-3.21002135145137,-2.55223003445,10.6499862158095,-0.30141084564844,0.30141084564844,"Moderate",-0.30141084564844,TRUE,TRUE
"registered_patients_rural_pct","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",1456,1564,1455,1,0.0686813186813187,1560,4,0.255754475703325,15.6113558796353,30.4196343941776,0.3711263685,0.07062178595,11.0754866165,11.00486483055,0,99.9267756895,14.8181350762094,30.2646126355219,0.58447343485,0.086784047775,8.13919202695,8.052407979175,0,99.9758919961,0.7932208034259,-0.21334706635,30.3422225179174,0.0261424753232066,0.0261424753232066,"No clear",0.0261424753232066,TRUE,TRUE
