reference,candidate,adjusted_rand_index,normalised_mutual_information,aligned_agreement,reassigned_practices
cbt_inbound_17,cbt_outcome_nhs_ilr_20,0.894915323255533,0.8381597876460138,0.9642857142857143,52
cbt_inbound_17,cbt_outcome_raw_21,0.24868476416596344,0.2876967008718118,0.4993131868131868,729
cbt_outcome_raw_21,cbt_outcome_nhs_ilr_20,0.24219010880410544,0.28014343079385245,0.4951923076923077,735
